user_id,action,object_type,date
1,dodaj,user,"2026,03,25 18:38:28"
2,zablokuj,admin,"2026,03,25 18:38:28"
1,dodaj,user,"2026,03,25 18:38:58"
2,usun,admin,"2026,03,25 18:38:58"
1,dodaj,user,"2026,03,25 18:39:36"
2,usun,admin,"2026,03,25 18:39:36"
9,dodaj,user,2026-06-13 22:33:42
